S No,Organization name,Username,Review,Review submitted date
1,Test,john_doe,Great product! Very satisfied with the quality and customer service.,15-02-2026 10:30
2,Test,sarah_smith,Not happy with the delivery time. Product is okay but took too long to arrive.,16-02-2026 14:15
3,Test,mike_jones,Absolutely love it! Exceeded my expectations. Will definitely recommend to friends.,17-02-2026 09:45
4,Test,emily_brown,Average experience. The product works but nothing special about it.,18-02-2026 16:20
5,Test,david_wilson,Terrible customer support. Product broke after 2 days and no one responded to my emails.,19-02-2026 11:00
6,Test,lisa_anderson,Best purchase I've made this year! Quality is outstanding and price is reasonable.,20-02-2026 13:30
7,Test,james_taylor,Good value for money. Minor issues but overall satisfied with the purchase.,20-02-2026 15:45
8,Test,maria_garcia,Disappointed with the quality. Expected much better based on the reviews.,21-02-2026 10:10
9,Test,robert_martinez,Excellent service and fast shipping. Product exactly as described. Very happy!,21-02-2026 17:25
10,Test,jennifer_lee,Not worth the price. Found similar products elsewhere for much cheaper.,22-02-2026 12:00
